"","AGE","MEAN","0.05","0.95"
"1",250,-0.0392147458824126,-0.267754111374537,0.188543360812619
"2",750,-0.0647018991679561,-0.237522108096833,0.0940911801401429
"3",1250,-0.0854850599688196,-0.256699013054634,0.0975181982404251
"4",1750,-0.0528582037872069,-0.186686783888367,0.0797119730788173
"5",2250,-0.249743433755186,-0.43172618716221,-0.064196741556182
"6",2750,-0.11844975416869,-0.271151991975379,0.0463871766583564
"7",3250,-0.0490777437690358,-0.217359985703443,0.118839880220239
"8",3750,-0.119726522800787,-0.29290972114381,0.0536365167835779
"9",4250,-0.128384452676369,-0.297525724819133,0.0484932446750821
"10",4750,-0.021936538098875,-0.197768097962717,0.153984129323144
"11",5250,-0.172546381414212,-0.335050289687348,-0.00957110881289514
"12",5750,-0.254509397955346,-0.440378582155255,-0.0713707063311802
"13",6250,-0.424523297703779,-0.583177577408077,-0.259970187903433
"14",6750,-0.476916810296113,-0.683262553679967,-0.283336924968857
"15",7250,-0.25045822137679,-0.447052737690195,-0.0405805179526696
"16",7750,-0.134090624736215,-0.338752244418289,0.0802236688225797
"17",8250,0.108609383588261,-0.138775291585701,0.350596472394998
"18",8750,-0.0334920779737722,-0.270623683197959,0.203247399267634
"19",9250,0.192539176961458,-0.128137579538628,0.500438017035438
"20",9750,0.214664403496768,-0.0750462229981195,0.477987457487943
"21",10250,-0.27395006883922,-0.582045649686259,0.0866016661432735
"22",10750,-0.43753447953962,-0.765970703506781,-0.0811703650464796
